scenario,h3_res,zipf_s,p50_ms_median,p95_ms_median,p99_ms_median,throughput_rps_median,errors_sum,postgis_cpu_avg_pct_median,geoserver_cpu_avg_pct_median,postgis_mem_avg_mib_median,geoserver_mem_avg_mib_median,n_reps
baseline,0,1.1,5.8695,34.834250000000004,100.1103499999997,789.0692517612803,23,59.0,310.79894736842107,81.05526315789473,1019.6048,3
cache,7,1.1,1.076,6.421399999999995,13.48992000000002,799.9740156226534,5,6.110526315789474,26.321,83.7005,1267.3536,3
cache,8,1.1,4.534,43.43120000000005,122.76766000000012,788.7271819843138,15,21.2865,87.611,86.075,1301.4528,3
cache,9,1.1,56.8965,380.5879999999998,972.74762,259.8591922327768,328,54.385263157894734,195.29631578947368,86.02315789473684,1487.7103157894735,3
baseline,0,1.2,5.576,30.76459999999999,95.30706000000028,787.9060060095064,7,56.6065,300.4345,82.1205,1113.9584,3
cache,7,1.2,1.019,5.942300000000003,12.145840000000018,799.9825204577612,4,5.559473684210526,24.6555,85.64947368421052,1476.1984,3
cache,8,1.2,3.67,33.98539999999998,104.12040000000012,789.1929358945711,53,16.82578947368421,67.2625,86.2875,1475.5301052631578,3
cache,9,1.2,53.192,324.18,757.3727599999995,303.15356973101484,266,49.38684210526316,168.10052631578947,86.65526315789474,1517.824,3
baseline,0,1.3,5.325,29.781900000000007,85.54512,789.1964238090186,5,57.58,285.845,81.83631578947369,1132.1344,3
cache,7,1.3,0.965,5.308300000000003,9.914299999999988,799.9900063381765,4,4.5920000000000005,19.9135,85.16157894736841,1643.1616,3
cache,8,1.3,2.7415000000000003,17.35375,35.74285000000005,799.9698363089193,4,12.129473684210527,48.7478947368421,85.38736842105263,1656.7242105263158,3
cache,9,1.3,52.69,280.43525,721.8671099999974,326.44061388740784,152,42.31263157894737,134.64157894736843,85.2878947368421,1699.6244210526318,3
baseline,0,1.4,5.104,26.94840000000001,90.32523999999977,789.4827553956248,21,55.95333333333333,282.67052631578946,81.1125,1237.5848421052633,3
cache,7,1.4,0.936,4.661099999999999,8.484099999999984,799.9815967999481,3,4.387894736842106,15.063684210526317,84.27842105263157,1690.2144,3
cache,8,1.4,2.327,13.37010000000002,27.336299999999987,799.9586368818593,0,9.328947368421051,33.932105263157894,83.44894736842105,1692.5103157894737,3
cache,9,1.4,49.999,243.4391499999996,585.5162400000013,377.9090331309428,89,36.19263157894736,120.58368421052631,83.854,1713.152,3
